Electronic version(s) of this work > DOI (Digital Object Identifier)-0,Additional source IDs-1,UUID-2,ID-3,Managing organisational unit-4,Title of the contribution in original language-5,Subtitle of the contribution in original language-6,Publication statuses and dates > E-pub ahead of print-7,Publication statuses and dates > Accepted/In press-8,Workflow > Step-9,Electronic version(s) of this work > Document version-10,Electronic version(s) of this work > Licence to document-11,Managing organisational unit-12,Open Access status-13,REF Open Access Compliance Status-14,REF2021 exception-15,Current publication status > Date-16,Journal > Journal-17,Event-18,Title of the host publication in original language-19,Type-20
10.1186/s43170-024-00227-0,"ORCID: /0000-0003-2068-8589/work/155540688, ORCID: /0000-0002-3710-8395/work/155542660, ORCID: /0000-0001-8325-1320/work/155542911",1deabec6-5560-418f-84ef-6d93f043b7f3,186383059,f30144d5-623d-46c1-9b96-dae0c0a8f314,Creating pathways for collaboration between Argentina and the UK to utilise microbial biofilms in sustainable agriculture,,,21/02/24,Validated,"Version of Record, Version of Record","CC BY, CC BY",f30144d5-623d-46c1-9b96-dae0c0a8f314,Open,REF OA Compliance MET,,2024,CABI Agriculture and Bioscience,,,Contribution to journal - Comment/debate
10.1038/s41433-023-02654-1,"Scopus: 85164159474, ORCID: /0000-0001-5541-4305/work/139226993, PubMed: 37419959",cf3e1b6e-0629-40b8-a49a-e7605e2773fd,133030270,5d72be29-be4c-447a-b17c-63e29f8b89ce,Central macular choriocapillaris impairment as a manifestation of microvascular disease in eyes with subretinal drusenoid deposits,,7/07/23,21/06/23,Validated,"Version of Record, Version of Record","CC BY, CC BY",5d72be29-be4c-447a-b17c-63e29f8b89ce,Open,REF OA Compliance MET,,2024,Eye,,,Contribution to journal - Article
10.1080/13623699.2023.2221907,"ORCID: /0000-0003-1189-0531/work/137774323, Scopus: 85161626999",c983abf5-ba74-4e0c-9c71-b951aba0c18d,128445522,49ff624f-49dc-4774-8a57-54ec0ba80bd9,Banning women from public spaces in Afghanistan,the health and economic consequences of the new regulation,8/06/23,,Validated,Version of Record,,49ff624f-49dc-4774-8a57-54ec0ba80bd9,Closed,,,2023,"Medicine, Conflict and Survival",,,Contribution to journal - Comment/debate
10.1371/journal.pone.0280784,"PubMedCentral: PMC10079135, Scopus: 85151776700, WOS: 000969434300089",c88f40a2-e6fe-4039-80bb-eebd24cab91d,120031216,99d7412d-2eef-458f-ae55-2d3f2cc18d6d,A systematic review and meta-analysis of adolescent nutrition in Ethiopia,transforming adolescent lives through nutrition (TALENT) initiative,6/04/23,7/01/23,Validated,"Version of Record, Version of Record","CC BY, CC BY",99d7412d-2eef-458f-ae55-2d3f2cc18d6d,Open,REF OA Compliance NOT MET - Confirm exception applicability,,2023,PLoS ONE,,,Contribution to journal - Article
10.1111/iwj.14194,"WOS: 000972169300001, Scopus: 85153180671, ORCID: /0000-0003-4192-4464/work/135397954, ORCID: /0000-0003-0145-5042/work/135398270, ORCID: /0000-0001-5652-395X/work/135400809, PubMed: 37060199",d4c608a9-9b50-4ba8-b290-5e01eb8d9605,120317982,7a57a33f-1119-4246-8dfb-63dbbaa60035,Spatial and temporal changes in biophysical skin parameters over a category I pressure ulcer,,14/04/23,31/03/23,Validated,"Accepted manuscript, Version of Record, Version of Record","CC BY, CC BY-NC, CC BY-NC",7a57a33f-1119-4246-8dfb-63dbbaa60035,Open,REF OA Compliance MET,,2023,International Wound Journal,,,Contribution to journal - Article
10.1097/WON.0000000000001032,,dbfdb736-b278-40d1-8884-13af4cf96e77,159996717,94333a11-3184-488c-be53-55c9664335d5,The Effects of Incontinence Pad Application on Loaded Skin With Reference to Biophysical and Biochemical Parameters,An Exploratory Cohort Study Using a Repeated-Measures Design,,,Entry in progress,Version of Record,,94333a11-3184-488c-be53-55c9664335d5,Closed,,,2023,"Journal of Wound, Ostomy and Continence Nursing",,,Contribution to journal - Article
,,d46b14c7-a04b-4738-a57e-99e42ece730b,135854295,6e316058-25f0-4820-a9cb-83aabf135a08,The effect of data visualisation quality and task density on human-swarm interaction,,,2/06/23,Validated,Accepted manuscript,UoS-AM,6e316058-25f0-4820-a9cb-83aabf135a08,Open,,,2023,,32nd IEEE International Conference on Robot and Human Interactive Communication :  28/08/23 - 31/08/23,Proceedings of the 2023 32nd IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),Chapter in Book/Report/Conference proceeding - Conference contribution
10.1145/3610978.3640725,"ORCID: /0000-0001-9686-4302/work/155816823, ORCID: /0000-0003-4637-3278/work/156217816",d7648dbf-5ec9-4b63-adfd-478634b6b1d2,192732719,6e316058-25f0-4820-a9cb-83aabf135a08,The effect of predictive formal modelling at runtime on performance in human-swarm interaction,,,,Validated,"Accepted manuscript, Version of Record, Version of Record","CC BY, CC BY, CC BY",6e316058-25f0-4820-a9cb-83aabf135a08,Open,,,2024,,The 2024 ACM/IEEE International Conference on Human-Robot Interaction :  11/03/24 - 15/03/24,HRI '24: Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,Chapter in Book/Report/Conference proceeding - Conference contribution
,,29b8123b-1e69-4962-ac61-f1772873c00e,186025609,de044479-1530-4339-b27e-f79d8fe87772,Pre-chirp managed thulium fiber amplifier for 1.8 µm ultrashort pulse generation,,,22/02/24,Entry in progress,,,de044479-1530-4339-b27e-f79d8fe87772,None,Indeterminate,,2024,,,CLEO 2024,Chapter in Book/Report/Conference proceeding - Conference contribution
"10.1097/SLA.0000000000006006, 10.1097/sla.0000000000006006","ORCID: /0000-0002-2069-7605/work/139296240, ORCID: /0000-0002-6680-439X/work/149128072",bc86e57f-6372-4fc3-8248-88759b97bf40,133487203,f62570b2-fa6f-4545-954a-cd7e4fe204fb,The Brescia Internationally Validated European Guidelines on Minimally Invasive Pancreatic Surgery (EGUMIPS),,14/07/23,,Validated,"Accepted manuscript, Version of Record, Version of Record","CC BY, CC BY, CC BY",f62570b2-fa6f-4545-954a-cd7e4fe204fb,Open,,,2024,Annals of Surgery,,,Contribution to journal - Article
,"ORCID: /0009-0003-8266-9532/work/149859004, ORCID: /0000-0002-8857-1865/work/149866574, ORCID: /0000-0001-9817-7119/work/149866579",4438e526-c75b-4d40-bedd-89703427c09e,166452145,6a408a2c-4e91-48d1-92b4-99afc4a0cc28,Shockwaves detection based on inductive loop data: a microscopic simulation-based analysis,,,,Validated,,,6a408a2c-4e91-48d1-92b4-99afc4a0cc28,None,,,2024,,103rd Transportation Research Board Annual Meeting :  7/01/24 - 11/01/24,,Contribution to conference - Paper
